KEY_LEFT_CTRL,0x80
KEY_LEFT_SHIFT,0x81
KEY_LEFT_ALT,0x82
KEY_LEFT_GUI,0x83
KEY_RIGHT_CTRL,0x84
KEY_RIGHT_SHIFT,0x85
KEY_RIGHT_ALT,0x86
KEY_RIGHT_GUI,0x87
KEY_UP_ARROW,0xda
KEY_DOWN_ARROW,0xd9
KEY_LEFT_ARROW,0xd8
KEY_RIGHT_ARROW,0xd7
KEY_BACKSPACE,0xb2
KEY_TAB,0xb3
KEY_RETURN,0xb0
KEY_ESC,0xb1
KEY_INSERT,0xd1
KEY_DELETE,0xd4
KEY_PAGE_UP,0xd3
KEY_PAGE_DOWN,0xd6
KEY_HOME,0xd2
KEY_END,0xd5
KEY_CAPS_LOCK,0xc1
KEY_F1,0xc2
KEY_F2,0xc3
KEY_F3,0xc4
KEY_F4,0xc5
KEY_F5,0xc6
KEY_F6,0xc7
KEY_F7,0xc8
KEY_F8,0xc9
KEY_F9,0xca
KEY_F10,0xcb
KEY_F11,0xcc
KEY_F12,0xcd